"The","nt ","ng ","he "," th","ent","ion"," of","ed ","in "," an","d t","the","for"," to","on ","ing","tio","ati","d i","n t","of ","nd ","and"," in","er ","to ","an "," co","es ","e a","s, ","al "," fo"," wa"," wh","re ","s a","as "," Th"," a "," is","ter","th ","or ","s. ","is "," re","was","d a"," on","ers","at "," by","n a","ted","qualityClass"
19,16,27,74,99,19,17,50,41,19,27,19,97,12,26,26,27,7,13,6,7,41,27,18,22,19,26,5,24,10,9,12,5,11,21,7,21,12,29,20,11,4,15,13,6,7,19,18,18,7,12,10,15,6,7,10,7
30,6,34,160,181,20,40,67,66,53,82,34,169,30,38,36,67,31,18,23,27,45,83,73,60,29,32,18,22,28,25,28,32,28,26,26,33,38,49,32,27,17,30,12,18,20,22,15,21,29,18,22,38,5,16,17,7
20,27,47,191,195,44,35,66,97,41,70,40,178,30,36,42,39,33,15,13,46,73,77,68,69,59,52,23,22,19,22,12,19,20,45,27,30,29,58,24,34,1,32,22,28,17,19,19,42,25,20,30,43,12,20,24,7
20,17,26,110,103,29,62,61,51,51,66,22,103,17,28,41,20,34,27,20,28,67,53,63,47,43,22,20,37,40,20,29,26,26,13,10,32,35,35,19,35,48,22,21,19,26,29,22,5,9,12,4,13,7,12,12,7
10,15,25,69,74,28,17,43,57,42,42,17,75,15,32,18,36,21,7,17,22,42,65,49,43,23,28,14,24,38,23,35,18,20,7,23,13,30,40,13,22,12,18,20,18,17,19,11,6,9,5,4,11,8,16,11,7
7,4,16,69,70,11,18,16,52,19,26,17,64,7,23,13,19,16,4,6,10,18,35,26,27,19,18,10,6,21,10,9,6,16,14,10,16,16,22,14,19,7,13,7,5,12,12,27,15,9,7,1,10,5,13,6,7
14,8,21,77,100,18,19,30,48,17,42,21,97,5,25,19,20,8,9,7,11,35,40,38,41,35,13,18,15,8,14,17,19,5,17,10,20,11,32,7,23,8,13,13,9,5,23,11,29,9,10,15,32,9,18,17,7
24,17,43,230,206,41,67,104,82,63,90,25,204,21,43,48,56,40,34,22,43,102,90,98,84,46,33,54,30,34,28,23,51,21,36,29,39,49,51,46,26,23,35,25,25,23,42,32,24,14,22,25,14,25,19,17,7
10,13,21,126,132,21,17,82,48,34,51,27,117,19,23,27,28,15,11,15,28,69,48,44,45,29,17,33,28,18,29,19,30,16,14,15,28,35,31,24,57,27,19,23,30,15,30,16,8,20,13,15,17,6,15,12,7
15,19,26,107,122,37,31,67,79,41,39,31,110,18,30,24,29,23,13,14,14,52,56,44,37,32,34,14,21,17,14,15,28,20,13,10,25,20,47,17,25,1,18,10,15,13,7,23,18,18,14,30,13,8,6,21,7
8,7,47,74,65,20,22,29,36,14,25,25,49,11,18,23,25,9,6,4,12,22,20,26,34,27,23,13,11,5,12,9,10,9,15,10,10,8,19,6,21,4,15,9,4,7,5,13,10,8,13,13,6,7,7,13,7
20,17,57,128,147,33,29,74,109,33,71,36,123,29,68,58,75,25,24,6,17,63,45,68,59,54,54,47,30,27,27,27,24,18,24,20,19,33,51,20,51,16,48,17,17,16,15,32,33,21,32,29,22,15,23,40,7
11,6,16,46,64,11,11,33,30,10,17,11,52,4,15,11,28,16,6,3,6,24,10,15,14,11,16,5,8,3,11,5,6,4,6,5,9,8,7,11,12,0,9,10,8,0,4,15,3,8,7,4,11,6,8,12,7
21,11,37,97,110,27,38,58,74,37,70,27,138,25,46,52,54,34,29,19,18,62,96,40,71,33,30,24,33,40,24,17,41,20,15,11,37,36,30,26,34,25,27,14,31,23,47,32,13,13,10,19,19,11,22,18,7
11,4,21,42,34,13,17,33,29,29,30,8,42,7,20,17,27,9,9,6,6,22,16,17,19,20,11,3,14,8,6,7,4,8,5,0,3,9,19,3,7,9,6,8,6,4,21,11,8,3,5,3,10,8,11,8,7
3,5,17,34,36,7,17,27,40,13,13,12,51,11,13,16,12,10,18,2,6,20,17,23,25,14,16,12,13,6,7,6,2,17,7,4,15,10,8,3,5,0,4,2,5,5,4,5,8,6,6,22,7,7,7,15,7
9,4,8,68,58,8,7,31,29,9,16,8,62,3,9,12,16,11,7,7,11,36,13,17,13,13,5,10,7,4,4,7,10,4,6,5,2,10,12,14,15,7,2,3,2,1,15,17,7,7,6,5,12,9,5,3,7
3,9,19,42,58,17,17,29,46,23,26,26,52,21,17,13,16,9,4,3,5,20,20,19,30,15,24,14,8,15,6,10,5,10,14,8,8,12,23,7,13,1,8,6,8,9,19,6,14,7,5,9,6,1,5,6,7
5,15,21,108,94,26,42,53,66,49,38,23,113,9,24,27,22,34,10,14,20,42,62,57,55,40,31,21,15,11,15,13,17,11,27,10,12,18,36,19,29,6,45,10,15,9,36,23,17,22,21,10,10,6,9,12,7
41,25,64,261,249,43,44,85,128,48,61,53,232,33,66,84,67,57,39,16,40,80,71,75,71,95,75,24,77,47,29,24,24,52,67,20,51,33,50,33,35,4,32,25,34,17,18,38,40,11,29,27,24,17,25,34,7
1,3,17,38,41,12,21,24,24,17,28,9,44,8,10,9,10,8,2,6,10,26,29,26,22,47,22,8,7,7,8,5,7,6,11,4,6,14,21,3,13,1,27,14,12,2,5,6,11,2,4,5,12,3,5,8,7
16,14,44,152,158,23,40,78,114,39,71,33,139,28,59,41,70,30,29,12,25,76,60,52,45,51,44,51,32,17,23,10,31,25,37,18,30,26,56,19,46,12,25,23,14,14,23,39,33,28,23,20,29,13,24,21,7
3,10,34,57,77,20,9,33,48,22,22,16,69,12,31,18,31,6,3,1,4,32,36,40,24,22,26,8,11,13,11,7,5,10,31,14,14,12,24,7,22,2,9,13,11,5,22,13,17,7,18,9,25,9,5,7,7
6,10,11,53,53,13,19,16,36,5,14,12,38,9,18,13,24,15,7,2,5,19,19,20,9,10,13,8,7,8,7,6,13,7,14,9,15,8,14,5,9,0,4,0,12,5,0,17,5,11,1,4,9,5,4,9,7
12,28,72,220,273,87,78,114,184,70,130,72,231,36,86,84,95,78,49,26,42,125,136,124,104,58,94,20,54,23,40,37,76,44,42,23,34,45,66,18,59,12,43,31,42,15,78,56,40,39,33,36,60,18,35,37,7
17,5,19,81,66,11,13,19,33,17,21,19,64,8,35,24,24,4,3,6,15,25,33,23,20,24,22,5,12,21,11,7,11,11,19,11,16,9,21,10,18,3,13,5,17,7,14,9,11,4,11,9,14,2,8,7,7
11,9,22,65,83,5,19,28,31,24,20,14,87,7,20,24,21,22,11,8,11,31,17,18,20,20,26,7,23,11,10,15,4,13,11,7,18,5,20,11,12,6,12,7,11,5,11,10,13,5,9,12,16,11,8,15,7
4,7,21,42,61,13,14,32,30,22,39,14,57,12,25,9,20,16,6,7,10,23,38,39,28,10,15,14,15,12,11,15,9,15,6,7,12,14,9,6,4,4,12,6,6,2,12,10,10,17,4,20,6,8,15,10,7
7,6,25,76,81,18,24,60,44,22,45,13,53,14,39,15,27,13,10,4,12,43,27,38,40,19,28,17,19,12,16,15,7,5,19,8,17,17,21,6,19,9,20,8,13,3,34,17,12,18,8,5,14,8,12,19,7
60,29,90,346,315,70,105,126,195,107,150,67,299,66,88,116,103,59,47,26,52,130,180,154,120,108,96,46,63,119,44,25,55,63,65,36,45,86,106,29,107,13,94,49,91,19,81,64,68,36,46,35,43,22,39,55,7
19,32,73,290,336,74,116,158,177,120,136,90,247,44,92,105,87,112,60,31,78,152,135,134,115,106,81,44,80,59,47,32,68,39,67,40,39,57,78,21,74,13,38,48,32,22,73,56,46,33,46,18,66,23,31,39,7
42,18,90,259,265,76,99,127,115,101,125,33,278,30,70,82,68,76,64,26,57,145,140,127,131,75,48,46,68,69,33,53,62,35,24,25,44,61,60,41,62,40,47,33,31,43,53,36,24,15,28,34,25,23,34,38,7
24,18,52,165,178,36,64,66,113,61,73,44,146,27,59,56,50,50,18,14,29,48,67,74,89,69,65,26,40,38,19,34,18,38,38,30,22,28,70,25,44,26,26,20,28,14,16,52,51,27,22,16,42,20,21,32,7
33,34,60,142,203,58,91,134,93,78,109,34,186,41,72,58,73,86,59,12,31,92,111,85,107,43,56,35,49,83,49,63,71,51,10,27,84,67,60,27,45,37,150,24,42,45,50,43,7,9,20,13,25,25,34,15,7
9,1,24,41,62,8,10,18,57,28,24,12,52,10,18,17,25,10,5,4,6,19,19,25,23,32,13,8,13,5,9,4,7,16,13,10,10,9,20,10,16,1,10,12,7,6,2,11,8,11,10,5,4,1,9,8,7
19,8,14,101,117,19,29,63,66,39,47,28,112,15,46,29,29,25,22,13,25,44,52,62,53,29,25,8,18,35,13,15,31,8,20,12,22,17,34,13,28,14,23,16,18,7,40,9,15,19,25,9,26,13,7,22,7
17,16,22,75,117,25,25,52,55,53,42,16,91,20,25,32,33,39,22,11,21,66,34,39,66,15,22,19,36,34,22,20,13,18,5,8,18,35,10,14,37,30,17,10,17,16,42,31,3,9,10,4,13,14,15,4,7
14,10,30,93,127,28,39,73,58,27,41,15,99,25,14,27,29,16,18,5,20,59,51,53,45,29,27,16,19,37,16,12,17,17,10,8,20,26,32,17,26,13,19,21,10,10,16,9,5,23,12,7,23,5,17,13,7
21,22,62,175,199,53,64,82,118,52,81,27,206,16,56,67,60,55,21,11,36,87,81,87,51,43,53,24,34,45,23,20,23,24,28,16,30,43,50,22,38,37,37,22,22,17,28,27,19,30,31,14,33,18,14,22,7
8,20,24,76,102,26,60,63,53,32,44,20,72,21,27,47,25,61,36,10,20,54,35,42,53,20,28,13,25,17,17,13,24,9,16,6,11,30,28,7,11,8,12,11,13,16,18,10,19,7,15,16,19,5,16,12,7
28,22,66,269,259,40,39,79,135,58,93,48,222,48,79,123,99,28,25,17,45,77,89,80,101,93,112,30,33,61,37,25,38,46,64,48,38,55,92,25,81,28,54,21,47,28,82,50,44,34,33,23,38,28,34,34,7
12,14,20,78,82,12,18,32,34,28,23,13,70,11,23,22,19,15,10,3,16,24,21,16,27,13,31,14,29,23,8,9,6,14,15,2,14,9,23,14,15,9,10,8,10,6,7,15,13,4,18,8,16,9,4,13,7
24,20,40,160,177,42,51,81,65,68,70,27,128,25,30,27,41,46,29,13,28,92,67,57,82,49,33,41,38,36,22,15,31,16,25,15,21,29,102,18,42,20,58,17,24,16,69,23,16,15,14,26,26,9,21,13,7
4,10,19,44,64,28,8,24,42,25,12,8,51,13,15,13,14,7,7,4,9,21,18,21,22,18,20,5,19,10,2,13,5,9,16,3,8,12,13,4,13,2,8,6,20,7,15,6,10,3,7,6,12,6,4,10,7
11,10,16,47,75,19,29,38,31,23,39,15,62,12,20,17,24,20,9,7,15,39,32,25,26,13,10,11,11,15,14,5,8,11,2,6,16,10,13,16,10,14,14,7,5,6,14,11,2,3,10,7,17,6,5,8,7
10,10,14,92,79,15,25,32,60,27,43,31,78,19,22,34,22,16,12,7,14,29,34,19,27,25,31,6,8,8,10,2,8,9,20,8,8,8,47,7,14,3,20,5,11,8,14,26,31,14,6,6,15,2,15,9,7
7,5,9,45,35,7,7,11,26,13,15,5,36,5,17,9,9,17,8,5,16,17,23,23,15,6,12,3,21,12,2,8,7,4,2,5,7,11,7,11,11,19,10,13,6,4,14,8,2,1,9,4,10,6,3,6,7
29,15,74,164,160,31,50,78,81,42,62,37,137,26,36,29,84,34,16,9,17,64,48,66,74,36,36,22,47,19,19,22,36,33,46,16,37,29,43,26,20,5,21,29,21,5,24,28,25,20,28,10,18,11,7,25,7
38,33,54,266,330,60,75,130,169,126,134,60,278,16,58,67,60,66,52,39,53,130,121,117,187,61,67,57,47,110,23,40,38,29,55,31,92,68,73,50,43,26,28,43,31,49,50,37,50,26,33,16,47,39,19,47,7
11,8,35,68,93,26,46,36,70,17,39,33,85,15,30,24,37,28,15,6,11,34,44,32,44,25,28,13,28,14,10,23,21,17,22,20,18,17,19,10,13,0,16,5,16,16,4,34,11,12,11,26,18,8,8,25,7
26,39,112,287,362,52,83,105,207,81,105,58,308,69,124,83,118,44,39,31,59,86,105,216,100,103,113,55,76,57,40,44,43,43,74,50,46,42,100,18,73,13,50,47,80,38,135,53,50,45,49,56,61,24,43,52,7
7,7,13,41,41,12,11,21,23,11,9,3,37,3,9,19,17,6,2,4,9,31,16,16,16,7,13,8,9,9,4,3,6,0,5,1,6,7,16,6,8,4,5,2,8,2,16,5,7,3,6,7,10,5,5,5,7
17,11,33,102,114,14,41,65,74,39,43,34,114,11,35,36,37,39,36,12,14,69,53,48,44,33,37,12,15,20,13,9,14,18,21,18,9,17,41,10,28,6,12,10,26,6,19,14,20,17,17,10,16,9,16,21,7
18,4,20,51,78,18,20,36,49,27,39,17,76,16,21,14,25,8,7,14,9,29,34,27,34,23,25,8,23,23,13,17,8,9,11,13,14,10,16,14,19,13,13,20,20,12,32,5,5,11,5,5,14,4,12,5,7
8,6,17,92,82,18,32,35,52,15,24,27,81,9,25,18,18,16,7,3,12,21,17,22,17,25,30,14,17,22,7,5,13,6,14,7,7,11,22,10,16,4,5,7,21,5,7,18,14,8,12,2,12,10,7,36,7
11,3,20,47,26,11,7,13,20,12,21,7,38,3,13,8,13,5,2,2,8,22,18,20,13,6,12,9,12,8,7,5,12,6,6,0,8,9,1,9,5,3,6,8,8,7,2,11,8,7,3,4,4,2,3,11,7
23,21,64,175,215,54,80,78,110,71,75,56,152,24,68,43,49,51,32,20,42,74,86,75,88,47,76,22,39,49,29,17,52,34,52,22,35,32,50,23,22,13,39,24,33,22,18,52,24,13,17,22,31,15,16,31,7
8,11,42,71,80,19,24,31,40,31,32,19,73,13,32,23,33,20,11,7,13,30,35,28,54,34,22,6,14,16,15,8,18,3,15,6,22,14,32,14,8,1,12,7,10,6,8,9,19,8,4,22,15,15,10,11,7
26,24,77,101,128,44,45,46,89,32,59,30,127,36,38,45,45,35,34,20,19,53,44,60,42,29,36,24,34,15,26,23,16,37,18,15,31,43,33,17,30,20,9,15,37,20,21,47,11,22,15,27,29,12,9,32,7
18,23,38,156,163,34,48,82,76,62,68,21,167,29,42,32,50,43,39,16,20,72,89,92,83,30,58,19,46,34,35,17,54,36,16,14,50,34,64,25,33,29,28,37,23,18,36,32,18,15,20,18,22,18,21,10,7
10,21,23,137,129,36,35,86,68,22,54,35,140,22,40,30,26,42,32,15,21,61,47,47,57,56,31,19,29,16,16,12,30,27,23,15,18,33,35,17,32,12,31,19,23,14,43,29,15,15,21,19,19,8,19,13,7
19,15,32,140,139,38,54,72,72,37,76,28,118,16,44,40,56,33,46,15,23,79,66,54,56,29,42,25,43,44,34,22,30,14,22,20,11,36,39,11,29,14,28,18,19,4,45,27,10,22,11,16,30,9,12,11,7
2,3,10,34,34,10,16,21,16,16,24,4,32,3,11,11,22,16,5,6,10,19,15,17,14,17,4,3,6,7,3,2,10,2,8,2,11,8,14,6,6,5,6,6,6,4,1,12,8,8,4,3,7,1,5,8,7
32,32,60,152,144,84,52,47,98,72,86,52,129,46,46,44,47,52,51,21,37,68,89,95,89,30,43,16,37,35,35,21,34,57,32,9,24,36,41,26,36,6,24,18,44,13,17,29,13,30,17,11,19,13,19,28,7
18,7,43,79,79,9,18,35,43,44,49,16,93,13,22,27,32,8,12,15,14,36,46,47,39,31,35,26,30,24,11,31,8,9,11,8,25,27,35,17,19,22,23,31,22,13,27,18,3,12,9,3,8,3,6,8,7
9,3,14,35,50,10,25,22,32,16,14,7,55,7,13,21,11,18,0,4,4,11,23,16,14,18,24,7,1,27,7,13,0,8,19,6,15,6,22,7,9,9,12,8,12,5,5,13,17,5,5,4,12,9,3,6,7
14,12,26,111,103,20,50,32,37,22,41,12,110,21,19,20,28,47,40,7,18,34,31,31,43,9,25,31,39,24,23,13,35,17,3,15,17,11,18,16,28,28,17,16,22,9,25,15,2,7,9,4,14,10,15,7,7
4,8,19,42,50,5,14,27,30,16,16,14,46,7,24,16,21,3,4,2,8,29,13,25,15,20,18,3,12,7,13,8,8,2,16,4,20,10,15,2,12,1,4,11,8,0,7,11,13,4,7,2,10,1,5,8,7
26,40,103,363,395,49,87,133,171,98,118,89,361,57,94,103,134,76,56,23,63,126,145,136,90,68,111,31,58,67,34,30,54,59,54,18,46,48,68,27,53,5,91,32,40,23,28,64,43,44,38,31,41,29,32,39,7
46,39,116,499,555,86,95,248,260,172,201,117,527,41,106,66,139,75,43,52,88,220,200,219,231,101,134,89,87,106,61,73,81,56,61,39,112,67,116,71,64,11,97,82,67,70,36,72,53,41,36,54,56,40,33,39,7
16,8,14,45,49,5,14,20,25,15,12,10,47,5,10,14,9,9,2,6,9,18,18,14,22,8,9,9,11,8,5,11,12,10,3,2,8,7,8,13,9,10,4,4,3,9,20,8,1,8,11,3,7,3,6,9,7
7,6,8,68,55,14,23,22,34,11,23,9,51,12,18,23,22,14,12,2,11,29,20,18,19,12,20,9,8,10,10,5,16,7,8,4,12,9,15,8,10,0,6,6,13,3,4,15,8,6,6,13,10,5,3,4,7
8,2,8,34,54,9,5,12,20,19,16,10,41,4,10,14,14,4,5,5,7,26,24,17,15,11,11,5,7,18,6,8,8,8,2,5,14,11,10,14,9,4,4,14,9,4,14,5,2,1,6,0,8,9,3,2,7
9,12,41,89,123,34,21,47,84,31,65,32,95,20,62,64,47,19,13,9,20,55,60,68,38,48,65,8,26,10,26,26,14,18,36,10,15,22,49,12,35,7,26,25,28,6,65,37,39,18,24,8,33,7,14,15,7
35,31,41,174,217,70,99,111,56,43,66,36,216,30,53,56,45,114,80,12,24,104,56,61,72,55,48,34,44,33,27,29,51,29,6,14,58,61,30,36,58,64,12,18,34,34,68,28,2,19,20,21,26,22,23,18,7
24,34,40,131,134,66,77,60,75,64,83,28,127,30,36,51,56,49,40,26,28,68,76,62,76,35,30,18,40,41,21,36,53,31,9,7,23,41,23,18,23,8,30,10,28,25,15,32,14,21,11,41,13,16,16,31,7
5,12,25,50,66,10,11,32,43,27,21,15,64,9,26,19,24,16,9,4,13,24,15,14,18,35,25,20,18,3,3,4,7,4,13,7,11,8,25,6,9,2,5,11,12,5,7,15,14,4,4,4,17,5,10,15,7
12,10,29,78,82,29,37,40,78,24,29,19,65,25,41,37,44,30,31,10,12,28,37,47,52,30,27,15,30,14,11,11,15,22,27,10,29,13,34,21,32,2,29,10,26,10,6,22,26,15,9,19,10,9,8,20,7
23,42,69,154,164,63,43,101,131,63,85,44,171,24,48,36,65,32,19,11,21,101,101,113,63,32,62,59,63,61,9,51,33,31,26,14,39,32,35,29,17,8,43,25,59,32,12,38,18,26,21,23,22,16,19,24,7
13,24,31,108,125,26,72,60,70,54,60,20,108,11,38,45,36,48,33,19,26,76,45,63,98,37,39,16,32,30,18,19,40,19,10,16,19,30,23,19,24,30,46,19,26,17,26,30,9,10,8,14,12,15,15,24,7
30,15,60,166,161,23,51,59,101,70,73,42,125,33,54,46,78,26,18,15,26,59,62,78,96,59,42,32,29,39,42,14,26,43,41,22,22,29,52,22,53,9,43,16,36,10,36,30,32,28,23,11,25,10,26,18,7
12,3,34,68,94,12,23,14,31,27,47,19,62,20,13,19,30,7,15,7,18,24,55,49,37,20,20,15,8,19,16,9,7,18,3,6,26,30,23,16,18,15,19,25,15,6,23,14,4,13,10,10,12,10,15,7,7
26,4,18,101,113,20,20,50,31,14,28,16,117,5,18,23,20,11,14,14,12,48,35,28,30,27,17,14,21,19,20,10,9,5,12,7,10,11,22,17,16,12,10,16,9,8,14,12,14,6,8,5,13,4,8,14,7
11,5,28,71,86,19,21,37,79,27,36,19,59,15,45,32,25,11,7,6,7,22,28,42,39,17,33,7,16,19,10,10,22,7,22,0,24,12,28,6,8,4,14,9,5,10,1,17,13,13,12,8,10,6,7,27,6
12,8,20,71,79,8,20,35,51,34,31,15,77,4,27,27,23,20,15,10,11,39,27,28,34,21,17,20,14,17,9,6,11,12,14,5,20,15,13,18,6,5,16,7,10,5,5,18,7,9,4,14,12,11,5,18,6
10,1,30,58,47,11,16,11,29,12,13,17,48,10,14,12,32,4,3,1,17,17,22,20,14,13,17,4,9,13,9,9,9,5,13,4,6,5,12,7,14,2,6,13,10,5,6,12,9,3,2,5,13,3,6,11,6
10,17,29,75,76,25,30,46,52,36,33,14,74,9,19,38,34,15,13,7,16,42,36,42,24,25,17,17,20,10,10,18,20,14,13,5,15,11,19,12,16,6,11,17,16,6,12,11,18,17,15,9,13,11,10,16,6
20,15,59,184,159,32,57,76,109,49,79,48,119,29,64,53,73,28,16,14,26,48,49,64,65,111,68,18,37,36,31,21,16,32,37,28,32,41,58,7,57,18,30,25,42,29,29,45,23,19,28,42,37,12,16,25,6
50,25,73,161,181,38,40,62,88,60,72,38,166,31,39,47,62,30,24,15,27,53,64,76,65,41,44,21,23,40,19,19,22,35,32,19,24,44,52,40,48,23,28,25,24,30,34,19,23,21,25,26,17,15,19,28,6
12,0,7,28,45,4,9,15,25,10,7,9,37,3,12,6,16,4,3,4,5,11,16,16,20,5,15,10,3,4,3,2,4,5,5,7,11,4,15,8,9,5,9,1,7,7,2,8,5,8,8,1,5,0,2,7,6
3,5,16,68,79,8,8,32,33,21,18,19,71,8,12,8,15,4,2,5,19,28,21,35,16,23,16,7,9,3,2,3,12,8,25,4,7,3,15,5,9,3,6,8,8,0,3,11,9,6,6,4,6,3,2,5,6
4,8,19,63,92,25,22,32,40,11,11,17,66,10,21,14,23,11,7,4,7,21,17,29,23,11,31,3,10,7,30,7,8,6,8,6,9,6,4,12,10,3,6,5,13,7,9,10,4,13,11,6,23,5,3,6,6
5,9,57,91,105,15,29,34,69,57,38,34,96,22,51,52,71,28,14,7,16,33,55,61,50,62,37,22,35,11,15,8,17,22,33,10,16,18,35,12,12,0,38,17,19,10,15,20,26,17,21,10,29,10,13,16,6
9,11,31,76,111,26,21,50,55,24,39,21,85,10,35,29,37,16,15,4,25,64,31,31,28,28,26,15,27,31,24,24,23,28,14,14,23,18,33,11,21,8,7,9,16,15,26,23,10,9,13,7,27,8,8,15,6
39,12,52,133,127,18,41,47,90,50,69,25,117,23,32,34,52,42,16,17,16,37,61,46,63,29,35,39,38,18,24,11,17,30,22,6,27,38,28,26,22,7,12,19,12,24,17,23,24,22,18,8,19,11,16,12,6
4,0,2,9,9,0,7,5,3,1,9,1,15,1,5,0,4,0,2,0,1,15,4,7,5,4,2,0,2,2,3,2,1,0,5,0,7,4,4,4,3,2,1,2,4,4,1,1,6,2,0,2,1,0,2,2,6
13,5,39,120,115,15,18,50,94,37,52,14,117,11,34,22,49,14,9,9,18,46,64,60,44,32,20,15,14,20,8,33,31,10,40,21,37,26,20,11,19,1,23,25,3,17,5,28,19,32,12,9,21,14,15,24,6
10,7,10,38,35,20,10,13,22,10,15,5,41,7,17,21,11,21,11,5,10,21,18,11,13,9,16,5,4,8,5,2,6,13,0,7,11,8,4,4,14,11,3,4,16,3,9,7,1,7,8,6,6,4,9,1,6
14,8,21,89,79,21,27,56,33,18,46,13,80,21,19,24,18,24,21,3,17,52,31,30,34,25,21,4,29,17,9,10,27,16,1,10,24,19,16,8,12,16,9,12,27,9,9,23,3,7,9,3,15,6,6,4,6
7,0,13,73,48,4,11,22,16,7,21,15,51,5,12,10,13,8,3,5,7,23,13,15,14,5,18,5,7,9,6,5,8,3,12,1,1,13,19,7,15,3,12,8,4,1,5,8,6,4,9,4,8,4,4,6,6
4,26,49,114,129,60,60,62,79,36,57,25,127,28,29,30,44,39,26,9,26,75,53,54,46,46,35,30,22,31,9,21,32,23,14,12,17,22,24,9,23,8,20,16,44,9,29,26,12,10,17,18,22,11,15,15,6
0,5,18,38,38,5,10,12,49,9,17,8,45,2,20,21,20,7,4,5,4,15,18,17,15,9,18,1,7,10,7,4,9,6,13,3,16,5,15,9,10,2,9,5,4,3,4,11,4,15,3,5,2,5,1,6,6
