"The","ng ","he "," th","ent","ion"," of","ed ","in "," an","the","on ","ing","tio","of ","nd ","and"," in","er ","an "," co","es ","al ","re ","s a","as "," a "," is","or ","is ","qualityClass"
7,41,91,92,36,31,30,66,29,43,86,66,50,39,43,39,38,54,37,22,14,14,25,15,17,23,28,5,23,15,3
3,13,36,42,17,25,9,13,7,9,34,10,13,12,12,20,19,17,10,5,5,0,11,2,5,19,5,1,5,7,3
15,46,206,220,32,39,117,102,77,68,185,35,64,34,109,91,78,75,55,31,46,32,31,41,43,68,59,13,30,58,3
33,54,111,134,30,27,51,85,41,48,134,43,59,16,49,50,46,61,35,21,14,33,23,27,35,45,27,15,23,15,3
23,76,207,269,67,81,88,128,48,82,212,77,81,71,78,71,77,68,72,50,76,40,47,31,39,49,48,28,49,37,3
1,5,26,19,3,4,9,6,8,5,9,3,3,3,7,4,3,9,3,4,2,8,3,1,5,1,1,1,1,1,3
49,176,363,429,67,87,122,265,97,183,394,108,197,58,134,202,189,141,123,84,76,57,55,64,82,95,94,11,60,63,3
2,7,23,19,3,2,6,14,9,8,20,5,4,0,5,13,17,13,5,6,5,1,0,7,11,8,4,0,3,5,3
3,4,14,10,2,3,6,6,7,8,11,3,5,2,8,6,3,7,2,3,2,0,1,4,4,6,2,3,3,2,3
9,4,35,22,9,8,8,11,11,9,27,6,6,3,14,4,6,16,7,3,3,6,1,3,6,10,6,3,5,6,3
19,44,84,143,32,46,70,39,32,39,119,39,48,32,61,23,24,52,32,14,50,53,29,30,26,13,33,22,30,24,3
2,3,16,11,1,4,3,8,2,5,8,7,2,0,4,4,5,4,6,1,2,4,2,1,0,3,1,1,6,2,3
7,31,118,120,17,26,45,54,34,41,106,19,31,13,49,30,45,37,22,19,17,17,7,20,17,34,21,9,14,26,3
8,13,44,37,7,19,13,9,11,21,46,17,10,7,9,17,13,12,16,8,9,14,0,5,10,7,8,8,11,4,3
16,24,61,83,12,38,34,49,14,26,69,33,20,33,23,26,28,25,26,16,21,24,24,12,14,8,15,11,12,28,3
4,10,41,57,5,6,22,20,10,13,43,3,11,2,14,19,17,13,8,3,7,3,3,4,9,6,7,0,2,3,3
9,5,25,19,7,4,16,13,8,13,30,4,10,6,15,9,11,8,7,3,9,11,11,4,9,10,8,4,6,4,3
8,11,29,39,5,7,13,7,11,19,29,3,11,9,8,11,13,14,4,3,2,10,6,10,9,5,1,0,4,2,3
3,12,51,66,18,25,21,27,22,22,47,33,24,30,28,32,15,31,16,6,10,15,16,12,19,8,25,19,12,26,3
2,3,12,19,15,12,7,4,6,6,9,3,9,9,6,5,6,10,5,2,5,3,2,1,3,1,7,1,4,8,3
6,12,30,35,5,14,9,11,7,11,30,8,15,14,9,9,16,5,7,4,9,6,4,13,5,0,6,6,5,13,3
14,34,101,140,16,29,67,42,32,45,105,31,45,22,58,34,56,36,17,8,30,12,11,17,15,30,23,15,14,30,3
3,11,40,19,1,8,10,19,20,10,19,16,18,4,13,7,15,9,20,5,6,5,1,2,2,16,14,1,5,6,3
1,14,13,20,11,14,16,22,8,8,25,17,9,8,17,23,8,13,8,7,9,5,8,13,10,10,10,10,5,9,3
6,8,25,28,7,6,9,22,8,12,20,10,16,13,7,8,10,15,10,13,10,10,3,2,5,3,2,0,9,1,3
29,94,213,274,55,59,93,140,72,141,224,105,122,41,94,102,105,124,77,69,42,83,48,40,71,63,64,46,63,115,3
0,15,43,41,7,8,25,12,14,10,39,9,7,8,27,10,9,13,8,3,6,5,10,4,13,9,7,7,6,14,3
3,10,21,21,6,11,4,8,6,9,18,4,8,4,7,6,10,7,5,6,2,2,4,1,5,1,2,1,4,11,3
30,22,104,133,21,44,57,47,38,47,82,23,31,28,54,42,51,42,19,15,26,40,35,25,31,8,32,23,20,41,3
0,7,11,19,6,4,8,9,11,9,18,5,7,4,6,8,6,8,12,3,1,2,3,4,7,12,4,0,3,6,3
1,0,1,0,1,1,1,1,0,0,2,1,0,0,0,0,2,0,0,1,0,0,1,1,0,2,1,0,0,0,3
5,3,13,11,3,6,3,4,0,5,7,0,3,1,3,3,5,3,1,1,3,0,2,1,2,5,0,2,3,3,3
6,7,13,20,1,7,11,12,2,6,8,8,6,5,5,7,4,6,4,1,1,6,5,0,7,2,4,2,5,4,3
7,13,44,42,10,17,10,25,9,20,48,11,20,11,17,25,21,24,12,10,5,8,10,2,6,14,4,2,11,4,3
27,42,177,210,36,35,111,90,23,87,198,33,45,37,92,69,70,63,38,30,35,42,41,57,42,52,37,10,29,26,3
7,9,63,58,14,3,25,20,13,25,58,13,11,3,23,24,18,20,10,10,3,3,8,6,3,13,11,4,6,6,3
42,112,345,480,141,198,289,210,136,206,398,141,119,151,231,213,210,216,94,64,106,118,144,75,96,103,96,91,79,105,3
20,31,81,97,5,15,26,33,18,32,79,28,40,9,25,40,34,24,28,6,12,18,11,12,10,26,24,5,8,23,3
19,19,66,51,15,18,31,41,24,40,45,13,15,24,26,25,28,29,16,10,13,13,14,14,12,26,24,11,10,15,3
10,22,62,86,18,18,47,39,20,29,74,18,20,19,41,28,31,28,10,13,19,10,10,9,18,16,12,4,16,16,3
7,14,21,18,1,11,10,17,10,20,27,16,20,5,17,14,19,9,13,6,5,7,7,7,4,8,7,3,5,5,3
14,36,89,100,23,31,55,28,15,41,91,24,32,22,43,36,32,30,15,12,20,21,19,19,14,16,20,13,8,25,3
6,9,18,31,7,6,12,11,9,12,13,5,2,6,19,17,16,12,6,3,6,10,2,7,11,4,2,0,1,7,3
7,11,64,63,6,13,34,39,19,17,75,16,10,7,47,20,27,17,13,11,17,12,5,9,7,13,9,0,7,4,3
2,9,23,30,2,5,6,9,9,10,19,10,7,1,6,18,11,10,11,2,7,17,2,6,12,6,6,2,1,1,3
11,30,72,81,35,31,53,50,26,27,84,39,23,20,29,20,35,29,18,12,30,20,18,12,12,30,23,3,22,11,3
3,8,14,22,0,9,14,14,11,6,17,6,7,6,6,5,9,10,7,1,3,0,2,0,7,9,4,1,6,1,3
2,12,23,17,2,3,6,9,12,9,19,4,9,1,3,10,10,12,10,7,3,4,2,2,2,7,3,1,2,3,3
10,21,80,86,13,12,41,29,17,29,82,17,13,11,40,28,27,26,19,10,9,15,31,6,21,29,5,8,16,15,3
62,135,345,397,75,183,161,292,104,158,383,139,133,124,163,178,165,162,86,65,123,100,68,85,71,111,58,10,54,35,3
12,24,107,108,29,31,58,59,50,69,108,27,50,26,63,46,66,52,45,21,22,21,21,20,24,32,27,6,15,42,3
1,2,17,9,4,6,7,7,5,8,19,2,4,3,5,5,5,4,6,0,5,2,4,11,2,3,3,5,3,5,3
3,6,16,18,5,5,4,5,4,6,23,5,6,3,2,11,7,2,6,2,3,3,1,5,3,9,5,1,8,3,3
45,117,337,370,37,76,97,174,144,112,331,108,134,56,89,124,113,142,110,44,83,92,51,43,38,77,100,10,51,26,3
0,9,31,30,18,12,23,24,18,15,45,13,10,16,22,16,10,18,10,9,3,4,4,3,13,11,4,8,4,8,2
1,2,16,6,0,1,2,6,7,2,12,2,3,2,4,5,7,6,3,1,2,2,2,4,2,3,5,3,1,1,2
0,0,3,0,0,0,0,2,0,1,0,4,0,0,0,1,1,0,2,1,0,0,1,1,0,1,0,0,2,1,2
1,3,3,2,1,5,2,2,0,3,3,0,3,1,1,1,0,3,1,0,0,1,3,1,2,0,1,2,3,2,2
0,3,2,7,3,1,8,6,3,2,6,3,4,2,4,3,4,4,2,1,1,4,0,2,1,3,3,1,2,1,2
4,5,18,13,6,6,9,9,3,9,16,9,3,5,8,5,6,7,15,3,4,3,0,1,5,4,4,1,10,8,2
2,1,6,5,3,2,0,4,3,3,4,0,2,0,1,2,2,2,3,3,0,0,2,1,0,0,3,0,1,0,2
5,9,27,22,2,10,9,6,9,16,25,5,17,9,8,15,15,10,4,5,6,5,10,5,4,6,6,3,3,3,2
2,2,4,2,1,0,3,2,1,2,4,2,5,0,3,3,0,1,1,0,4,2,0,1,1,0,3,0,2,0,2
5,6,14,8,4,2,4,4,1,6,5,0,4,2,2,6,3,1,3,2,7,4,3,4,2,2,3,0,1,1,2
2,4,13,2,2,0,4,5,4,3,6,2,1,0,2,1,3,1,3,1,1,2,1,3,4,2,1,0,2,2,2
4,4,4,12,4,7,4,9,0,4,7,7,0,7,3,2,4,1,3,1,0,1,2,1,1,4,3,0,4,1,2
11,13,48,48,4,10,10,19,17,12,34,13,5,10,15,21,26,15,12,9,4,9,4,11,8,19,18,3,7,12,2
1,5,15,15,3,4,6,3,2,8,8,1,8,5,3,5,2,5,4,2,4,0,4,1,2,8,4,2,2,1,2
2,10,18,31,2,7,8,10,10,9,28,1,15,5,11,12,12,19,11,5,14,9,7,15,12,7,9,4,10,6,2
7,14,20,33,3,2,10,4,8,19,19,9,13,4,6,14,15,7,11,2,1,8,1,4,4,1,14,2,2,11,2
0,0,1,3,2,1,2,1,0,1,2,0,1,0,0,3,2,1,0,1,1,0,2,0,0,1,0,3,1,3,2
2,8,23,23,9,6,13,17,14,16,23,10,6,6,13,13,13,13,12,7,4,6,6,4,8,14,8,0,3,7,2
1,2,2,5,2,2,3,4,4,5,4,0,2,0,2,1,1,1,0,0,0,2,0,3,2,1,1,2,0,1,2
1,1,10,9,2,3,7,1,7,7,6,4,2,4,4,5,2,12,2,2,0,4,2,0,2,1,1,1,2,1,2
1,0,0,2,1,1,0,2,1,0,3,1,0,0,1,1,2,3,0,0,0,0,0,0,1,1,0,0,0,0,2
0,1,2,0,1,0,0,2,0,2,0,0,1,0,0,2,0,2,1,0,0,0,0,0,2,0,0,1,0,1,2
7,4,24,14,2,9,9,15,7,13,12,3,5,2,5,9,9,7,7,2,7,4,3,4,2,3,8,3,2,4,2
3,4,14,12,3,8,7,3,2,5,5,2,6,0,0,5,5,5,4,3,6,1,1,4,2,6,3,1,2,1,2
1,1,2,0,0,0,2,2,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,2
5,2,19,12,1,2,9,9,7,10,16,11,6,4,6,5,10,9,5,5,5,6,5,1,4,10,2,2,8,0,2
5,2,19,8,3,12,12,8,5,5,9,12,4,7,8,8,10,8,6,5,2,1,8,6,7,3,6,2,6,2,2
8,7,41,40,5,4,13,18,10,17,44,2,9,3,11,19,16,9,9,6,1,6,4,7,9,5,14,10,5,16,2
6,4,16,16,8,5,9,17,10,14,21,4,3,8,7,11,15,18,22,4,7,5,5,7,8,6,12,4,4,6,2
3,0,5,7,0,3,1,2,1,3,8,1,0,0,0,2,1,0,0,0,2,2,0,2,0,1,0,1,0,0,2
3,6,7,10,1,3,5,10,3,5,6,2,7,0,3,7,7,7,16,2,3,2,3,5,1,3,5,1,5,1,2
0,0,0,4,2,7,1,1,0,3,0,1,1,1,2,1,0,2,1,0,3,1,1,0,0,1,0,2,0,1,2
3,11,13,14,10,10,8,8,4,7,17,6,12,13,14,7,6,11,5,4,10,5,11,10,7,4,5,3,6,8,2
2,4,18,18,1,4,9,15,2,10,20,6,4,4,11,7,9,14,17,3,3,2,6,2,0,5,9,2,4,6,2
4,5,17,8,4,11,7,7,7,6,11,3,11,2,3,8,5,2,9,3,4,7,5,3,3,4,3,1,3,2,2
18,14,53,49,5,7,14,37,14,25,36,12,30,10,19,37,38,26,13,6,10,9,7,9,7,10,11,2,6,4,2
4,3,10,6,6,3,7,7,2,11,4,5,5,1,2,16,7,3,4,4,4,5,1,3,14,3,2,3,4,1,2
4,6,18,22,6,3,10,12,4,4,21,21,6,4,8,6,8,12,6,4,5,3,1,4,6,5,8,5,2,6,2
2,15,26,45,6,10,11,9,7,9,37,10,8,6,10,13,4,8,12,4,4,2,2,1,4,10,4,0,3,3,2
5,11,43,41,7,7,12,28,5,18,42,10,16,4,12,13,23,12,22,8,8,9,2,7,6,17,12,7,9,4,2
9,21,34,52,7,8,30,38,28,24,30,25,34,8,16,18,24,30,37,15,14,16,6,14,11,11,16,9,18,8,2
0,0,1,2,0,0,1,2,0,1,2,2,0,1,0,0,2,1,0,1,2,2,0,0,0,1,1,1,0,1,2
3,1,6,11,1,2,4,0,2,7,6,3,3,1,3,4,4,6,2,3,1,0,1,2,5,5,5,0,2,2,2
1,7,30,27,11,7,17,6,7,8,25,10,12,7,19,8,11,8,10,9,3,10,4,5,8,4,6,10,6,15,2
0,0,1,1,1,2,3,4,2,3,2,0,4,2,0,3,3,2,3,3,1,4,1,0,2,3,1,0,1,3,2
0,0,5,4,0,0,1,2,0,2,5,0,0,0,1,0,2,0,3,1,0,2,1,0,0,1,0,1,0,3,2
8,7,19,34,5,0,8,19,13,19,28,4,12,4,9,13,15,8,15,11,3,3,1,6,12,10,5,8,5,8,2
3,10,17,16,3,4,3,14,17,6,19,4,9,5,6,10,14,15,22,8,3,6,6,1,6,6,9,4,3,6,2
9,25,70,81,24,16,42,47,40,48,78,17,24,11,23,49,43,47,27,18,15,20,15,36,25,27,22,10,17,8,2
10,24,73,58,8,7,12,33,22,23,68,14,27,10,19,20,22,21,18,14,7,11,7,14,8,20,17,3,13,14,2
4,5,12,13,3,1,7,5,3,2,14,1,1,1,5,6,5,4,2,2,5,6,1,1,3,5,5,2,1,7,2
2,0,9,14,4,9,5,5,5,4,12,2,2,7,3,18,8,5,3,1,4,2,3,5,3,2,2,4,2,1,2
1,0,1,4,3,1,2,3,1,0,0,0,1,0,2,1,6,4,1,0,0,3,4,0,0,1,3,2,1,3,2
1,4,18,19,2,4,14,12,3,2,23,6,4,5,5,6,5,9,6,4,3,1,4,1,4,5,3,0,5,3,2
1,2,11,13,2,3,10,6,1,9,11,3,5,4,5,8,8,7,4,2,0,4,2,3,3,1,9,1,4,5,2
6,5,15,11,2,8,5,11,1,3,14,4,4,6,5,3,10,4,10,0,8,4,7,7,4,4,3,6,2,9,2
5,2,24,20,5,8,6,13,11,8,20,2,5,6,5,7,15,16,4,0,7,5,2,5,1,5,3,5,2,5,2
8,6,23,18,0,4,3,11,6,8,17,5,10,3,5,9,6,7,7,6,7,2,1,1,7,14,3,2,2,0,2
1,3,6,5,2,1,2,2,2,1,6,2,3,1,2,1,0,1,2,0,2,1,0,1,2,1,3,0,2,4,2
12,24,39,62,25,17,22,40,28,31,50,13,38,17,23,26,46,33,23,9,8,18,16,10,14,17,7,5,20,27,2
1,4,6,2,4,2,2,10,3,7,8,3,7,4,5,4,3,6,5,2,3,1,1,1,2,5,1,2,0,4,2
1,4,5,2,1,2,0,0,0,0,8,1,0,1,1,2,1,2,1,1,5,2,1,2,0,0,0,0,0,3,2
3,6,15,27,4,3,11,4,13,8,17,7,6,5,7,5,12,11,5,8,6,5,2,2,4,2,8,10,4,3,2
3,8,20,16,2,12,3,13,7,12,17,8,9,3,4,10,12,12,8,2,12,4,2,6,2,5,3,1,4,3,2
7,7,11,11,2,2,4,6,7,8,17,3,8,4,6,4,4,9,5,2,3,11,3,2,6,5,4,4,1,10,2
1,2,6,2,0,6,4,1,1,7,2,0,2,5,0,6,4,4,2,1,1,0,3,0,3,1,1,0,1,1,2
4,6,13,10,5,6,4,6,0,11,17,10,5,5,8,11,8,4,5,1,4,1,2,0,7,6,6,5,5,1,2
0,5,1,1,3,1,1,1,2,1,5,0,5,1,2,1,0,2,0,0,3,2,1,0,0,2,3,0,2,0,2
4,17,30,35,1,1,5,14,12,16,32,6,26,1,5,23,30,12,12,0,3,3,4,12,6,13,4,0,9,6,2
0,0,6,6,1,1,0,2,4,2,2,2,4,0,1,3,3,4,2,0,1,0,2,2,2,2,1,1,0,1,2
0,0,5,1,0,1,0,1,2,1,4,1,1,1,2,2,1,3,0,2,0,2,3,0,0,0,1,1,0,2,2
5,3,9,11,2,2,0,4,8,5,9,1,2,3,3,6,7,7,2,2,0,6,1,1,1,3,2,0,2,1,2
0,2,8,9,0,0,1,5,1,3,2,0,7,2,6,2,4,3,1,2,2,1,0,0,1,1,3,0,0,1,2
10,15,46,70,14,14,16,24,17,26,49,12,21,11,29,29,16,21,20,10,6,16,5,5,11,16,15,16,6,29,2
12,14,33,47,12,17,17,22,14,25,54,5,15,16,12,22,28,25,10,3,15,10,14,6,15,14,6,4,11,7,2
1,2,4,5,0,8,5,8,2,3,8,2,5,6,3,4,3,1,10,1,2,2,2,1,2,4,3,0,0,0,2
2,2,3,3,0,0,2,1,0,5,3,2,2,5,2,0,5,2,0,1,1,5,0,2,3,1,4,3,4,3,2
1,0,5,5,0,0,1,3,3,4,6,1,2,0,2,2,4,4,0,0,3,1,5,1,0,1,1,0,0,2,2
12,17,75,66,16,47,25,27,19,38,61,25,33,27,28,19,15,26,13,20,10,7,16,14,11,11,12,4,8,6,2
1,1,5,7,2,6,4,4,2,2,4,1,6,5,3,3,2,3,3,6,0,3,1,1,1,1,1,3,5,2,2
5,10,13,17,5,7,7,15,5,10,16,9,13,9,7,17,15,5,9,2,8,8,6,6,13,9,9,12,9,10,2
1,4,10,8,2,3,5,5,3,4,9,9,2,3,3,3,4,1,5,0,0,1,1,0,2,7,3,0,4,0,2
2,1,14,17,3,6,15,5,9,3,15,1,1,3,6,4,3,7,5,5,4,3,7,2,3,3,2,1,1,0,2
3,0,4,1,0,0,0,0,4,1,0,3,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,2
2,6,22,35,11,12,11,22,6,6,30,11,10,20,23,5,5,13,10,6,17,7,0,5,5,3,3,10,7,13,2
2,3,2,7,3,0,2,3,1,1,8,3,1,1,4,3,2,3,2,2,2,0,0,3,1,3,0,0,0,0,2
0,3,12,11,7,4,8,16,10,19,10,11,10,7,4,6,10,10,7,3,8,7,2,0,4,15,5,2,8,6,2
1,3,9,5,2,4,2,5,1,4,4,3,4,0,1,1,0,0,1,0,1,1,3,3,4,1,0,1,2,3,2
2,4,4,2,0,4,5,4,0,3,1,3,3,3,7,4,1,4,0,3,6,3,3,1,2,0,3,2,4,5,2
0,5,3,2,0,0,0,1,0,4,2,0,4,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,2
4,12,25,25,1,8,11,17,10,17,21,16,7,3,10,16,22,11,9,8,9,6,8,3,3,9,12,2,4,8,2
2,2,5,5,3,3,1,6,0,4,8,5,1,0,0,4,2,2,1,2,0,1,2,3,1,5,0,0,2,1,2
1,6,5,7,0,1,2,5,7,1,9,6,5,1,2,8,6,7,3,1,0,1,0,1,1,4,3,0,2,3,2
1,4,15,13,2,10,12,6,11,8,11,3,6,8,9,6,8,9,6,5,4,5,12,2,2,1,3,1,1,2,2
9,16,43,51,10,23,24,26,23,23,41,19,12,21,29,30,27,20,8,17,7,16,12,8,8,14,14,6,10,9,2
6,18,49,55,25,20,22,25,18,15,41,12,13,14,27,11,21,15,23,13,12,12,14,7,3,6,9,4,4,7,2
8,18,45,47,5,8,10,22,15,9,45,15,16,4,8,17,19,14,20,2,17,24,9,11,10,11,9,4,6,0,2
0,4,14,17,2,0,2,8,2,11,14,1,7,0,4,10,3,2,2,1,0,3,1,1,5,0,4,8,2,10,2
2,1,12,8,1,1,4,3,2,3,7,2,1,0,1,2,0,3,0,0,2,1,1,1,0,2,3,0,1,1,2
9,30,75,78,11,13,24,26,23,31,82,18,25,16,32,29,31,29,44,9,8,17,14,9,11,9,20,15,18,11,2
1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,1,3,3,1,0,1,0,1,1,0,0,1,2,4,0,1,1,2,1,1,1,1,0,2,4,1,1
0,4,15,15,2,3,10,5,4,6,14,2,4,3,3,4,6,3,5,5,7,1,1,4,1,6,5,2,4,1,1
0,0,1,1,0,0,0,1,2,3,1,1,0,1,1,4,3,1,1,0,0,0,0,0,2,2,0,0,0,0,1
0,4,2,2,5,2,1,8,6,2,3,3,2,1,1,3,2,5,5,1,2,3,1,0,2,0,2,1,0,0,1
0,0,0,1,0,1,3,1,2,2,2,1,1,0,1,0,2,0,0,0,0,1,1,0,1,0,0,1,1,1,1
1,1,1,2,0,0,1,0,2,0,1,0,0,0,4,0,1,2,0,0,1,2,0,0,1,1,0,0,0,0,1
0,2,16,20,3,2,5,4,11,9,13,1,3,1,7,5,8,11,2,5,0,2,1,1,2,3,1,0,2,2,1
1,0,0,3,2,0,1,1,0,2,0,2,0,1,4,2,3,1,0,1,0,1,0,0,3,0,2,1,1,0,1
0,2,3,4,3,2,5,2,3,9,5,2,6,2,4,1,4,8,2,5,3,2,1,2,1,4,1,0,0,1,1
0,1,3,2,1,1,0,4,2,2,0,1,1,0,2,1,3,4,0,2,0,1,0,0,1,0,2,3,1,3,1
2,2,7,3,2,0,3,3,1,2,4,0,3,1,3,4,2,4,1,0,0,1,2,2,2,4,1,0,1,1,1
6,10,42,23,9,9,12,11,5,14,25,6,10,4,16,13,12,11,5,2,7,6,2,7,2,6,2,5,2,7,1
3,3,1,4,0,0,1,6,5,2,6,3,2,1,3,1,0,2,2,2,1,0,0,1,0,2,0,1,3,1,1
0,0,1,2,0,1,0,3,3,1,1,1,5,2,0,0,2,1,1,3,0,1,1,0,1,0,1,1,2,2,1
2,1,2,2,1,2,1,5,3,2,2,0,3,1,2,1,1,3,1,0,2,3,0,1,1,2,1,2,2,2,1
0,2,9,4,4,1,3,4,2,3,4,2,3,2,4,1,1,1,3,0,0,1,3,1,3,5,1,1,4,3,1
2,0,3,4,2,1,1,1,1,1,4,0,0,0,1,3,1,1,0,1,2,2,0,0,0,1,0,0,0,3,1
0,0,0,3,1,0,1,0,0,1,0,0,1,0,1,2,0,1,1,1,2,0,0,0,1,1,0,0,1,1,1
6,5,5,3,1,0,1,8,7,5,7,1,5,1,2,7,4,2,3,0,0,1,0,3,1,4,1,1,1,1,1
4,8,5,6,7,2,6,3,2,2,8,1,4,4,2,8,7,4,8,2,5,1,1,5,7,2,1,1,3,3,1
2,0,4,4,3,0,2,2,1,1,2,0,0,1,3,0,4,1,1,0,2,2,2,0,0,0,0,0,0,2,1
2,1,7,3,5,0,8,6,3,1,11,5,2,1,2,1,4,2,1,1,2,2,1,0,0,3,0,1,0,2,1
1,0,3,2,0,1,1,3,0,1,0,1,0,3,0,1,1,1,0,0,0,0,2,1,4,0,1,3,1,0,1
4,0,18,11,5,3,6,5,5,5,8,1,3,4,11,3,2,5,1,1,2,2,1,1,3,4,1,4,2,3,1
0,1,4,2,0,0,3,2,4,2,5,2,4,0,1,1,2,3,3,2,0,2,0,1,2,2,1,0,4,1,1
1,6,16,20,4,4,6,7,6,1,16,3,6,0,5,6,6,7,6,2,2,3,2,2,1,6,6,0,0,2,1
0,5,9,20,11,11,12,4,3,8,15,6,5,11,5,7,8,5,4,4,2,0,6,1,8,7,3,1,4,4,1
0,0,2,2,0,0,0,2,0,1,0,1,0,0,1,0,1,3,1,0,1,0,0,1,3,1,1,0,0,0,1
0,1,2,3,0,0,1,2,1,0,0,2,0,0,0,0,1,1,2,1,0,0,0,0,0,1,1,1,0,0,1
0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
1,4,4,1,1,0,0,0,2,1,1,1,3,1,2,0,1,3,2,1,2,1,1,1,3,1,2,1,0,2,1
0,3,5,8,2,4,9,10,5,4,6,5,4,3,3,10,10,6,4,0,2,1,0,4,0,4,6,1,5,2,1
0,2,0,3,3,1,3,4,2,2,2,1,2,0,1,0,0,1,0,1,0,0,3,2,2,2,2,2,0,1,1
0,0,4,5,4,3,8,2,3,2,6,2,0,3,4,4,2,2,4,0,0,1,1,0,1,3,4,2,3,0,1
3,3,6,10,2,4,6,4,3,5,8,3,4,5,4,3,3,2,1,1,5,2,1,1,2,3,4,0,2,0,1
0,0,1,2,0,0,1,2,0,1,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
0,1,3,3,0,0,1,1,0,1,4,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1
0,0,1,4,1,1,2,1,0,1,0,1,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,2,0,1,0,2,1
0,2,3,3,0,0,1,0,1,1,1,0,2,1,0,1,1,2,1,0,0,0,0,0,1,0,1,0,2,2,1
2,1,5,4,1,2,7,1,6,2,6,2,6,3,4,5,5,3,0,1,2,2,2,2,3,1,1,4,1,0,1
0,2,1,1,0,0,0,1,0,0,1,2,0,0,0,1,2,0,0,2,0,0,0,0,0,0,1,0,0,1,1
1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1
0,5,4,9,3,4,1,8,2,4,4,2,2,6,1,2,4,3,5,1,2,0,2,1,2,4,1,2,1,0,1
0,0,7,4,2,0,2,2,3,2,5,1,1,1,1,1,5,1,2,0,3,1,0,1,1,1,3,3,2,2,1
9,8,30,31,11,12,19,17,5,14,32,9,12,4,13,17,10,13,3,1,6,7,4,4,4,5,3,2,4,6,1
1,4,12,10,4,6,13,11,6,6,8,4,6,5,6,4,3,7,7,5,5,8,8,3,4,7,5,1,8,4,1
1,0,2,6,0,2,0,2,2,0,2,1,1,1,0,0,0,6,0,6,0,0,3,2,3,1,0,1,2,1,1
1,1,5,7,1,3,1,0,0,3,3,1,2,2,2,2,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1
0,1,0,3,1,0,1,0,0,0,4,1,2,0,2,1,1,0,0,1,0,2,2,3,0,0,0,0,0,2,1
1,2,3,3,1,0,0,1,0,1,4,1,0,3,3,0,1,0,1,0,1,1,1,0,1,1,1,0,2,0,1
7,4,7,4,0,0,4,2,3,4,11,2,2,1,10,4,1,7,3,0,2,4,1,0,1,1,1,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,2,1,0,3,1,0,0,1,2,1,0,1,1,0,1,2,1,0,0,0,2,0,1,1,1,0,0,2,1
0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,2,0,0,1
2,1,3,3,0,0,2,5,0,3,5,1,1,2,1,1,3,0,2,1,0,0,0,0,0,3,3,2,1,4,1
2,2,8,5,2,0,3,3,1,0,4,1,2,1,2,0,2,1,1,1,3,0,0,1,0,2,0,0,0,1,1
0,0,1,3,1,0,2,0,0,0,3,0,0,0,2,0,2,0,0,3,0,1,0,0,0,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1
1,1,1,1,0,1,0,2,1,3,2,1,0,0,2,0,3,1,2,0,0,1,0,1,1,5,2,0,0,0,1
1,1,2,2,0,0,1,1,3,1,1,2,1,1,0,3,1,2,0,0,1,0,0,1,2,2,2,0,1,2,1
1,1,14,15,0,1,6,3,2,6,13,4,3,0,6,4,15,0,0,1,1,3,2,3,1,2,0,1,0,3,1
0,1,3,7,0,2,0,2,0,2,7,3,4,0,1,0,2,5,1,2,3,2,0,1,0,0,2,1,1,0,1
2,2,2,6,1,4,0,2,3,3,12,3,1,2,5,1,1,3,2,0,1,4,4,1,1,2,2,1,0,3,1
1,1,2,8,1,2,2,0,1,2,4,0,0,2,1,1,2,3,5,0,2,2,0,0,1,0,1,0,3,0,1
2,2,11,6,0,3,8,5,5,5,5,1,5,3,9,4,10,4,1,1,2,2,4,3,2,3,2,1,4,2,1
1,0,1,4,0,1,1,4,1,4,2,0,1,0,0,1,3,2,1,0,1,0,0,1,0,1,1,1,0,1,1
2,5,13,11,3,5,4,5,1,8,5,4,4,5,3,9,3,5,6,1,9,5,7,2,4,4,4,1,5,3,1
