"he "," th","the"," in","qualityClass"
57,55,51,11,6
129,158,153,33,6
314,307,288,102,6
15,24,13,5,6
27,16,21,8,6
267,283,248,126,6
66,59,65,28,6
407,407,366,122,6
87,81,77,20,6
95,115,92,70,6
115,88,110,44,6
216,244,209,51,6
101,88,65,30,6
25,17,16,6,6
40,40,49,19,6
41,59,34,32,6
39,55,40,24,6
109,103,90,27,6
115,142,106,69,6
163,191,166,42,6
23,11,17,6,6
125,151,157,84,6
22,52,29,36,6
112,124,118,38,6
119,101,109,29,6
90,109,99,32,6
117,111,113,34,6
57,63,56,20,6
85,80,70,22,6
66,100,74,24,6
19,28,20,6,6
82,93,68,30,6
185,222,192,83,6
107,104,108,30,6
153,153,154,45,6
54,61,41,17,6
12,26,21,11,6
11,23,12,4,6
291,344,296,105,6
98,124,98,42,6
23,22,25,3,6
63,87,78,29,6
59,68,78,42,6
161,161,124,43,6
99,84,77,22,6
119,102,95,59,6
70,49,38,28,6
74,68,74,22,6
103,111,130,40,6
93,101,80,31,6
99,108,103,69,6
175,229,174,75,6
39,50,45,16,6
61,70,58,30,6
56,59,48,29,6
142,180,184,54,6
88,99,89,24,6
59,36,41,12,6
143,153,148,42,6
36,38,36,49,6
164,190,163,70,6
162,159,159,69,6
45,28,34,9,6
152,160,144,73,6
35,35,31,4,6
23,23,16,7,6
128,147,124,57,6
148,140,136,54,6
96,92,104,31,6
15,20,13,8,6
42,44,38,15,6
52,57,51,25,5
196,230,195,71,5
56,64,46,9,5
261,237,205,95,5
24,22,29,20,5
85,90,75,23,5
190,185,213,87,5
133,120,159,61,5
82,116,112,54,5
33,39,37,23,5
42,42,37,13,5
51,61,55,23,5
44,55,49,15,5
14,40,30,20,5
57,46,41,29,5
35,35,34,9,5
77,90,78,52,5
124,118,113,35,5
34,50,25,19,5
166,164,167,76,5
75,69,52,28,5
46,47,44,16,5
43,44,45,15,5
293,376,322,109,5
68,76,102,33,5
127,169,143,88,5
83,89,77,38,5
125,129,122,52,5
201,211,211,74,5
68,80,75,44,5
175,206,194,67,5
32,40,41,13,5
56,69,65,33,5
80,106,80,17,5
54,81,59,24,5
9,5,7,2,5
96,144,96,74,5
106,107,77,43,5
131,148,139,62,5
80,87,99,43,5
24,31,18,8,5
115,169,116,41,5
49,60,33,30,5
33,31,26,17,5
64,67,73,33,5
60,65,72,32,5
129,150,134,46,5
285,261,285,149,5
83,75,70,26,5
127,123,112,30,5
284,288,258,117,5
17,16,20,9,5
98,81,81,40,5
20,28,14,9,5
16,30,17,20,5
28,24,22,7,5
141,164,128,68,5
13,18,23,14,5
452,475,466,254,5
25,34,34,10,5
81,83,78,30,5
78,84,61,42,5
106,111,103,49,5
55,32,53,22,5
28,23,24,24,5
60,57,44,22,5
39,46,45,34,5
204,204,178,102,5
64,50,56,31,5
48,58,53,19,5
328,315,298,183,5
30,40,42,18,5
9,13,7,12,5
87,101,75,30,5
114,136,107,64,5
48,38,29,14,5
157,178,163,70,5
24,24,22,10,5
94,92,65,30,5
127,145,108,50,5
69,80,56,28,5
53,61,39,21,5
44,34,42,16,5
78,78,70,24,5
15,15,8,3,5
87,80,57,41,5
172,171,162,91,5
55,69,67,29,5
55,60,66,26,5
88,78,79,24,5
79,89,86,55,5
22,18,13,11,5
75,87,56,49,5
72,73,72,42,5
33,34,36,17,5
20,14,17,8,5
14,28,20,6,5
132,158,153,37,5
55,74,63,22,5
34,30,46,17,5
40,37,38,7,4
24,30,25,9,4
204,177,138,56,4
18,21,20,11,4
203,162,193,77,4
55,86,80,39,4
42,44,43,12,4
71,97,89,55,4
27,29,36,22,4
36,45,39,22,4
86,105,87,53,4
116,136,104,37,4
16,7,4,3,4
210,256,232,95,4
95,142,124,47,4
131,167,144,88,4
16,11,9,8,4
156,189,153,76,4
127,175,135,66,4
133,197,180,63,4
39,45,44,13,4
100,137,141,42,4
37,48,46,19,4
56,127,86,48,4
349,456,396,188,4
18,21,13,13,4
77,80,64,21,4
52,56,49,33,4
25,19,23,7,4
144,141,141,45,4
132,187,170,102,4
160,167,158,73,4
103,144,116,92,4
101,113,101,60,4
28,21,31,16,4
60,71,66,30,4
43,50,41,13,4
52,48,59,24,4
214,261,233,130,4
85,154,127,97,4
67,56,45,25,4
62,82,61,23,4
69,85,95,23,4
47,62,58,27,4
198,279,241,110,4
220,307,265,113,4
152,232,188,135,4
24,41,37,12,4
41,31,22,18,4
339,434,368,115,4
135,154,151,83,4
97,93,89,30,4
119,205,133,50,4
39,44,45,23,4
40,54,54,29,4
265,263,273,102,4
88,109,90,28,4
0,1,1,0,4
50,67,70,17,4
2,3,7,1,4
54,58,50,36,4
192,182,180,73,4
18,18,16,9,4
129,123,114,62,4
31,28,21,14,4
9,12,6,5,4
30,31,30,6,4
37,43,42,12,4
52,61,42,25,4
121,122,111,48,4
26,30,17,21,4
59,91,82,46,4
19,32,25,12,4
82,91,81,27,4
185,208,187,102,4
11,9,12,4,4
28,38,23,16,4
216,229,193,100,4
59,58,67,22,4
103,101,113,55,4
8,3,5,3,4
152,184,152,56,4
164,283,207,107,4
20,11,12,1,4
184,169,185,63,4
49,45,39,14,4
316,366,308,114,4
43,23,19,14,4
47,57,44,27,4
28,19,28,4,4
103,100,105,69,4
160,171,150,89,4
141,152,139,52,4
78,93,74,35,4
170,163,142,72,4
200,221,217,88,4
45,62,57,11,4
107,109,83,69,4
59,78,69,14,4
155,166,153,109,4
27,43,39,11,3
3,2,4,3,3
30,36,31,4,3
49,56,50,27,3
101,143,112,47,3
1,8,3,2,3
15,14,6,4,3
36,25,28,1,3
89,96,105,21,3
78,83,64,28,3
23,19,15,4,3
62,126,78,42,3
23,32,21,11,3
80,62,58,33,3
40,59,45,15,3
9,7,6,4,3
59,54,44,18,3
29,24,24,7,3
27,33,31,14,3
72,63,60,23,3
114,148,133,45,3
42,41,46,23,3
39,38,24,12,3
20,30,29,1,3
113,153,145,66,3
9,4,10,3,3
21,21,16,3,3
23,17,25,5,3
15,14,16,6,3
2,17,13,3,3
138,163,158,64,3
83,92,91,19,3
66,72,74,27,3
33,42,44,14,3
13,25,18,6,3
19,24,19,11,3
17,20,18,5,3
15,8,11,7,3
40,28,28,28,3
42,38,43,13,3
9,7,3,7,3
7,8,9,6,3
177,213,181,84,3
17,3,8,5,3
51,75,62,14,3
30,36,20,13,3
91,92,86,54,3
36,42,34,17,3
206,220,185,75,3
111,134,134,61,3
207,269,212,68,3
26,19,9,9,3
363,429,394,141,3
23,19,20,13,3
14,10,11,7,3
35,22,27,16,3
84,143,119,52,3
16,11,8,4,3
118,120,106,37,3
44,37,46,12,3
61,83,69,25,3
41,57,43,13,3
25,19,30,8,3
29,39,29,14,3
51,66,47,31,3
12,19,9,10,3
30,35,30,5,3
101,140,105,36,3
40,19,19,9,3
13,20,25,13,3
25,28,20,15,3
213,274,224,124,3
43,41,39,13,3
21,21,18,7,3
104,133,82,42,3
11,19,18,8,3
1,0,2,0,3
13,11,7,3,3
13,20,8,6,3
44,42,48,24,3
177,210,198,63,3
63,58,58,20,3
345,480,398,216,3
81,97,79,24,3
66,51,45,29,3
62,86,74,28,3
21,18,27,9,3
89,100,91,30,3
18,31,13,12,3
64,63,75,17,3
23,30,19,10,3
72,81,84,29,3
14,22,17,10,3
23,17,19,12,3
80,86,82,26,3
345,397,383,162,3
107,108,108,52,3
17,9,19,4,3
16,18,23,2,3
337,370,331,142,3
31,30,45,18,2
16,6,12,6,2
3,0,0,0,2
3,2,3,3,2
2,7,6,4,2
18,13,16,7,2
6,5,4,2,2
27,22,25,10,2
4,2,4,1,2
14,8,5,1,2
13,2,6,1,2
4,12,7,1,2
48,48,34,15,2
15,15,8,5,2
18,31,28,19,2
20,33,19,7,2
1,3,2,1,2
23,23,23,13,2
2,5,4,1,2
10,9,6,12,2
0,2,3,3,2
2,0,0,2,2
24,14,12,7,2
14,12,5,5,2
2,0,1,0,2
19,12,16,9,2
19,8,9,8,2
41,40,44,9,2
16,16,21,18,2
5,7,8,0,2
7,10,6,7,2
0,4,0,2,2
13,14,17,11,2
18,18,20,14,2
17,8,11,2,2
53,49,36,26,2
10,6,4,3,2
18,22,21,12,2
26,45,37,8,2
43,41,42,12,2
34,52,30,30,2
1,2,2,1,2
6,11,6,6,2
30,27,25,8,2
1,1,2,2,2
5,4,5,0,2
19,34,28,8,2
17,16,19,15,2
70,81,78,47,2
73,58,68,21,2
12,13,14,4,2
9,14,12,5,2
1,4,0,4,2
18,19,23,9,2
11,13,11,7,2
15,11,14,4,2
24,20,20,16,2
23,18,17,7,2
6,5,6,1,2
39,62,50,33,2
6,2,8,6,2
5,2,8,2,2
15,27,17,11,2
20,16,17,12,2
11,11,17,9,2
6,2,2,4,2
13,10,17,4,2
1,1,5,2,2
30,35,32,12,2
6,6,2,4,2
5,1,4,3,2
9,11,9,7,2
8,9,2,3,2
46,70,49,21,2
33,47,54,25,2
4,5,8,1,2
3,3,3,2,2
5,5,6,4,2
75,66,61,26,2
5,7,4,3,2
13,17,16,5,2
10,8,9,1,2
14,17,15,7,2
4,1,0,1,2
22,35,30,13,2
2,7,8,3,2
12,11,10,10,2
9,5,4,0,2
4,2,1,4,2
3,2,2,0,2
25,25,21,11,2
5,5,8,2,2
5,7,9,7,2
15,13,11,9,2
43,51,41,20,2
49,55,41,15,2
45,47,45,14,2
14,17,14,2,2
12,8,7,3,2
75,78,82,29,2
0,1,1,0,1
1,1,0,4,1
15,15,14,3,1
1,1,1,1,1
2,2,3,5,1
0,1,2,0,1
1,2,1,2,1
16,20,13,11,1
0,3,0,1,1
3,4,5,8,1
3,2,0,4,1
7,3,4,4,1
42,23,25,11,1
1,4,6,2,1
1,2,1,1,1
2,2,2,3,1
9,4,4,1,1
3,4,4,1,1
0,3,0,1,1
5,3,7,2,1
5,6,8,4,1
4,4,2,1,1
7,3,11,2,1
3,2,0,1,1
18,11,8,5,1
4,2,5,3,1
16,20,16,7,1
9,20,15,5,1
2,2,0,3,1
2,3,0,1,1
1,0,0,1,1
4,1,1,3,1
5,8,6,6,1
0,3,2,1,1
4,5,6,2,1
6,10,8,2,1
1,2,0,1,1
3,3,4,0,1
1,4,0,1,1
0,1,0,3,1
3,3,1,2,1
5,4,6,3,1
1,1,1,0,1
1,0,0,1,1
4,9,4,3,1
7,4,5,1,1
30,31,32,13,1
12,10,8,7,1
2,6,2,6,1
5,7,3,1,1
0,3,4,0,1
3,3,4,0,1
7,4,11,7,1
0,1,0,0,1
2,1,2,2,1
1,1,0,2,1
3,3,5,0,1
8,5,4,1,1
1,3,3,0,1
1,0,0,1,1
0,1,1,1,1
1,1,2,1,1
2,2,1,2,1
14,15,13,0,1
3,7,7,5,1
2,6,12,3,1
2,8,4,3,1
11,6,5,4,1
1,4,2,2,1
13,11,5,5,1
90,102,89,37,1
1,0,0,2,1
4,5,1,5,1
0,1,4,0,1
0,1,2,2,1
2,6,3,4,1
9,8,6,4,1
0,2,4,0,1
2,1,1,0,1
0,1,1,0,1
2,9,4,5,1
0,1,0,1,1
11,13,20,7,1
2,2,5,2,1
4,1,2,1,1
4,2,1,4,1
4,0,2,1,1
2,1,3,1,1
5,6,4,6,1
1,2,2,2,1
0,0,0,0,1
6,2,6,0,1
1,2,1,2,1
5,2,3,0,1
3,1,6,2,1
4,2,1,2,1
0,1,1,0,1
3,3,2,1,1
4,4,1,3,1
2,1,2,2,1
